Timestamp,Yaw,Pitch,Roll,V_Yaw,V_Pitch,V_Roll
2026-02-13T23:13:51.147779+00:00,-4.4,-179.9,0,14,-3,1
2026-02-13T23:13:51.186888+00:00,-4.3,-179.9,0,16,-2,3
2026-02-13T23:13:51.227810+00:00,-4.4,-179.9,0,15,-3,3
2026-02-13T23:13:51.268012+00:00,-4.1,179.9,0,15,2,3
2026-02-13T23:13:51.307647+00:00,-4.2,179.9,0,13,1,1
2026-02-13T23:13:51.348794+00:00,-3.9,179.9,0,12,0,0
2026-02-13T23:13:51.389635+00:00,-3.8,-179.9,0,12,0,3
2026-02-13T23:13:51.428456+00:00,-3.8,179.9,0,11,0,0
2026-02-13T23:13:51.468850+00:00,-3.7,179.9,0,11,-2,2
2026-02-13T23:13:51.510128+00:00,-3.6,179.9,0,11,0,-1
2026-02-13T23:13:51.550002+00:00,-3.7,179.9,0,10,2,2
2026-02-13T23:13:51.590955+00:00,-3.5,-179.9,0,11,1,-1
2026-02-13T23:13:51.630329+00:00,-3.5,-179.9,0,9,-4,6
2026-02-13T23:13:51.670929+00:00,-3.5,179.9,0,11,0,-4
2026-02-13T23:13:51.711909+00:00,-3.5,-179.9,0,11,0,11
2026-02-13T23:13:51.750510+00:00,-3.6,-179.9,0,12,0,-6
2026-02-13T23:13:51.791225+00:00,-3.5,-179.9,0,6,2,9
2026-02-13T23:13:51.831535+00:00,-3.5,-179.9,0,9,-1,-7
2026-02-13T23:13:51.872401+00:00,-3.4,-179.9,0,7,1,10
2026-02-13T23:13:51.912312+00:00,-3.3,-179.9,0,8,2,-1
2026-02-13T23:13:51.953339+00:00,-3.2,-179.9,0,7,-5,0
2026-02-13T23:13:51.993045+00:00,-3.2,179.9,0,4,0,2
2026-02-13T23:13:52.033023+00:00,-3.2,-179.9,0,7,6,1
2026-02-13T23:13:52.073055+00:00,-3.1,-179.9,0,7,-4,2
2026-02-13T23:13:52.117017+00:00,-3.1,179.9,0,6,0,0
